case	shell	result
0	bash	pass
0	mksh	pass
0	ksh	pass
0	toysh	FAIL
0	sush	FAIL
0	brush	FAIL
0	osh	pass
1	bash	pass
1	mksh	pass
1	ksh	pass
1	toysh	FAIL
1	sush	FAIL
1	brush	pass
1	osh	pass
2	bash	BUG
2	mksh	ok
2	ksh	FAIL
2	toysh	FAIL
2	sush	FAIL
2	brush	FAIL
2	osh	pass
3	bash	pass
3	mksh	pass
3	ksh	FAIL
3	toysh	FAIL
3	sush	FAIL
3	brush	FAIL
3	osh	pass
4	bash	ok
4	mksh	ok
4	ksh	FAIL
4	toysh	FAIL
4	sush	FAIL
4	brush	FAIL
4	osh	pass
5	bash	pass
5	mksh	ok
5	ksh	FAIL
5	toysh	FAIL
5	sush	pass
5	brush	pass
5	osh	pass
6	bash	pass
6	mksh	pass
6	ksh	pass
6	toysh	FAIL
6	sush	FAIL
6	brush	pass
6	osh	pass
7	bash	pass
7	mksh	pass
7	ksh	pass
7	toysh	FAIL
7	sush	pass
7	brush	pass
7	osh	pass
8	bash	pass
8	mksh	pass
8	ksh	pass
8	toysh	FAIL
8	sush	pass
8	brush	FAIL
8	osh	pass
9	bash	pass
9	mksh	pass
9	ksh	pass
9	toysh	FAIL
9	sush	FAIL
9	brush	pass
9	osh	pass
10	bash	pass
10	mksh	pass
10	ksh	pass
10	toysh	pass
10	sush	FAIL
10	brush	pass
10	osh	pass
11	bash	pass
11	mksh	pass
11	ksh	pass
11	toysh	FAIL
11	sush	FAIL
11	brush	pass
11	osh	pass
12	bash	pass
12	mksh	N-I
12	ksh	FAIL
12	toysh	FAIL
12	sush	FAIL
12	brush	pass
12	osh	pass
13	bash	pass
13	mksh	pass
13	ksh	pass
13	toysh	FAIL
13	sush	pass
13	brush	pass
13	osh	pass
14	bash	pass
14	mksh	pass
14	ksh	pass
14	toysh	FAIL
14	sush	pass
14	brush	pass
14	osh	pass
15	bash	pass
15	mksh	pass
15	ksh	pass
15	toysh	FAIL
15	sush	FAIL
15	brush	FAIL
15	osh	pass
16	bash	pass
16	mksh	pass
16	ksh	pass
16	toysh	FAIL
16	sush	pass
16	brush	pass
16	osh	pass
