ROW_CSS_CLASS	name	name_HREF	bash	mksh	ksh	toysh	sush	brush	osh
cpp-good	TOTAL		0	-724	-689	-1333	-838	-616	96
cpp-good	alias	alias.html	0	-5	-6	-44	-15	-27	-4
cpp-good	append	append.html	0	-3	-3	-11	-5	-7	4
cpp-good	arith	arith.html	0	-11	-10	-23	-3	-4	8
cpp-good	arith-context	arith-context.html	0	-5	-4	-7	-3	-7	1
cpp-good	arith-dynamic	arith-dynamic.html	0	-3	-3	-1	0	-1	-3
cpp-good	array	array.html	0	-22	-18	-55	-17	-16	13
cpp-good	array-assign	array-assign.html	0	-2	-2	-8	-2	-8	-8
cpp-good	array-assoc	array-assoc.html	0	-27	-27	-34	-23	-7	4
cpp-good	array-basic	array-basic.html	0	0	0	-5	-1	0	0
cpp-good	array-compat	array-compat.html	0	-3	-3	-12	-2	-3	-5
cpp-good	array-literal	array-literal.html	0	-4	-4	-4	-2	-1	4
cpp-good	array-sparse	array-sparse.html	0	-15	-14	-21	-13	-6	17
cpp-good	assign	assign.html	0	-3	-2	-16	-14	-1	8
cpp-good	assign-deferred	assign-deferred.html	0	-2	-2	-6	-4	-4	-6
cpp-good	assign-dialects	assign-dialects.html	0	0	0	-1	0	1	0
cpp-good	assign-extended	assign-extended.html	0	-16	-15	-22	-17	-5	13
cpp-good	background	background.html	0	-3	-2	-15	-11	-14	0
cpp-good	ble-features	ble-features.html	0	-7	-6	-9	-7	-3	-4
cpp-good	ble-idioms	ble-idioms.html	0	-14	-13	-23	-9	-10	1
cpp-good	ble-unset	ble-unset.html	0	4	1	2	2	0	3
cpp-good	blog1	blog1.html	0	-2	-1	-8	-6	-4	-3
cpp-good	blog2	blog2.html	0	-1	0	-1	-6	-1	0
cpp-good	brace-expansion	brace-expansion.html	0	-14	-14	-8	-4	-18	4
cpp-good	bugs	bugs.html	0	-4	-4	-9	-5	-4	5
cpp-good	builtin-bash	builtin-bash.html	0	-13	-13	-12	-13	-3	-4
