case	shell	result
0	bash	pass
0	mksh	pass
0	ksh	pass
0	toysh	FAIL
0	sush	pass
0	brush	pass
0	osh	FAIL
1	bash	pass
1	mksh	pass
1	ksh	pass
1	toysh	FAIL
1	sush	pass
1	brush	FAIL
1	osh	FAIL
2	bash	pass
2	mksh	pass
2	ksh	pass
2	toysh	FAIL
2	sush	pass
2	brush	pass
2	osh	FAIL
3	bash	N-I
3	mksh	pass
3	ksh	pass
3	toysh	FAIL
3	sush	pass
3	brush	pass
3	osh	FAIL
4	bash	pass
4	mksh	BUG
4	ksh	FAIL
4	toysh	FAIL
4	sush	FAIL
4	brush	FAIL
4	osh	FAIL
5	bash	pass
5	mksh	pass
5	ksh	pass
5	toysh	FAIL
5	sush	FAIL
5	brush	pass
5	osh	pass
6	bash	pass
6	mksh	pass
6	ksh	pass
6	toysh	FAIL
6	sush	FAIL
6	brush	FAIL
6	osh	pass
7	bash	pass
7	mksh	ok
7	ksh	FAIL
7	toysh	pass
7	sush	FAIL
7	brush	FAIL
7	osh	FAIL
8	bash	pass
8	mksh	ok
8	ksh	FAIL
8	toysh	pass
8	sush	FAIL
8	brush	FAIL
8	osh	FAIL
