case	shell	result
0	bash	pass
0	mksh	pass
0	ksh	pass
0	toysh	pass
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	mksh	pass
1	ksh	pass
1	toysh	FAIL
1	sush	pass
1	brush	pass
1	osh	pass
2	bash	pass
2	mksh	pass
2	ksh	pass
2	toysh	pass
2	sush	pass
2	brush	pass
2	osh	pass
3	bash	pass
3	mksh	ok
3	ksh	FAIL
3	toysh	FAIL
3	sush	FAIL
3	brush	pass
3	osh	pass
4	bash	pass
4	mksh	pass
4	ksh	pass
4	toysh	pass
4	sush	pass
4	brush	pass
4	osh	pass
5	bash	pass
5	mksh	pass
5	ksh	pass
5	toysh	pass
5	sush	pass
5	brush	pass
5	osh	pass
6	bash	pass
6	mksh	pass
6	ksh	pass
6	toysh	pass
6	sush	pass
6	brush	pass
6	osh	pass
7	bash	pass
7	mksh	pass
7	ksh	pass
7	toysh	pass
7	sush	pass
7	brush	pass
7	osh	pass
8	bash	BUG
8	mksh	pass
8	ksh	pass
8	toysh	FAIL
8	sush	pass
8	brush	FAIL
8	osh	pass
9	bash	pass
9	mksh	pass
9	ksh	pass
9	toysh	pass
9	sush	pass
9	brush	pass
9	osh	pass
10	bash	pass
10	mksh	N-I
10	ksh	FAIL
10	toysh	pass
10	sush	FAIL
10	brush	FAIL
10	osh	pass
11	bash	pass
11	mksh	pass
11	ksh	FAIL
11	toysh	pass
11	sush	pass
11	brush	pass
11	osh	pass
12	bash	pass
12	mksh	pass
12	ksh	pass
12	toysh	FAIL
12	sush	pass
12	brush	pass
12	osh	pass
13	bash	pass
13	mksh	BUG
13	ksh	pass
13	toysh	FAIL
13	sush	FAIL
13	brush	pass
13	osh	pass
14	bash	pass
14	mksh	N-I
14	ksh	FAIL
14	toysh	pass
14	sush	pass
14	brush	pass
14	osh	pass
15	bash	pass
15	mksh	pass
15	ksh	pass
15	toysh	pass
15	sush	FAIL
15	brush	pass
15	osh	pass
16	bash	pass
16	mksh	pass
16	ksh	pass
16	toysh	pass
16	sush	FAIL
16	brush	pass
16	osh	pass
17	bash	pass
17	mksh	pass
17	ksh	pass
17	toysh	pass
17	sush	pass
17	brush	pass
17	osh	pass
18	bash	pass
18	mksh	pass
18	ksh	pass
18	toysh	FAIL
18	sush	FAIL
18	brush	FAIL
18	osh	pass
19	bash	pass
19	mksh	pass
19	ksh	pass
19	toysh	FAIL
19	sush	pass
19	brush	FAIL
19	osh	pass
20	bash	pass
20	mksh	pass
20	ksh	pass
20	toysh	pass
20	sush	pass
20	brush	pass
20	osh	pass
21	bash	pass
21	mksh	pass
21	ksh	pass
21	toysh	pass
21	sush	pass
21	brush	pass
21	osh	pass
22	bash	pass
22	mksh	pass
22	ksh	pass
22	toysh	FAIL
22	sush	FAIL
22	brush	pass
22	osh	pass
23	bash	pass
23	mksh	pass
23	ksh	pass
23	toysh	pass
23	sush	pass
23	brush	pass
23	osh	pass
24	bash	pass
24	mksh	N-I
24	ksh	FAIL
24	toysh	FAIL
24	sush	FAIL
24	brush	FAIL
24	osh	FAIL
25	bash	pass
25	mksh	pass
25	ksh	pass
25	toysh	FAIL
25	sush	pass
25	brush	pass
25	osh	pass
26	bash	pass
26	mksh	N-I
26	ksh	FAIL
26	toysh	FAIL
26	sush	FAIL
26	brush	FAIL
26	osh	pass
27	bash	BUG
27	mksh	pass
27	ksh	pass
27	toysh	FAIL
27	sush	FAIL
27	brush	FAIL
27	osh	pass
28	bash	pass
28	mksh	pass
28	ksh	pass
28	toysh	FAIL
28	sush	FAIL
28	brush	pass
28	osh	pass
29	bash	pass
29	mksh	pass
29	ksh	pass
29	toysh	FAIL
29	sush	FAIL
29	brush	pass
29	osh	pass
30	bash	pass
30	mksh	pass
30	ksh	pass
30	toysh	FAIL
30	sush	FAIL
30	brush	pass
30	osh	pass
31	bash	pass
31	mksh	pass
31	ksh	pass
31	toysh	pass
31	sush	pass
31	brush	pass
31	osh	pass
32	bash	BUG
32	mksh	pass
32	ksh	pass
32	toysh	FAIL
32	sush	FAIL
32	brush	FAIL
32	osh	ok
33	bash	pass
33	mksh	ok
33	ksh	FAIL
33	toysh	pass
33	sush	pass
33	brush	pass
33	osh	pass
34	bash	pass
34	mksh	pass
34	ksh	pass
34	toysh	FAIL
34	sush	pass
34	brush	FAIL
34	osh	pass
35	bash	pass
35	mksh	pass
35	ksh	pass
35	toysh	FAIL
35	sush	pass
35	brush	TIME
35	osh	pass
36	bash	pass
36	mksh	N-I
36	ksh	FAIL
36	toysh	FAIL
36	sush	FAIL
36	brush	FAIL
36	osh	pass
