case	shell	result
0	bash	pass
0	dash	pass
0	ash	pass
0	zsh	pass
0	mksh	pass
0	ksh	pass
0	toysh	pass
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	dash	pass
1	ash	FAIL
1	zsh	pass
1	mksh	pass
1	ksh	pass
1	toysh	pass
1	sush	FAIL
1	brush	pass
1	osh	pass
2	bash	pass
2	dash	pass
2	ash	pass
2	zsh	pass
2	mksh	BUG
2	ksh	pass
2	toysh	FAIL
2	sush	FAIL
2	brush	pass
2	osh	pass
3	bash	pass
3	dash	pass
3	ash	FAIL
3	zsh	pass
3	mksh	pass
3	ksh	pass
3	toysh	pass
3	sush	FAIL
3	brush	pass
3	osh	pass
4	bash	pass
4	dash	BUG
4	ash	FAIL
4	zsh	BUG
4	mksh	pass
4	ksh	pass
4	toysh	pass
4	sush	FAIL
4	brush	pass
4	osh	pass
5	bash	pass
5	dash	BUG
5	ash	pass
5	zsh	BUG
5	mksh	pass
5	ksh	pass
5	toysh	pass
5	sush	pass
5	brush	FAIL
5	osh	pass
6	bash	pass
6	dash	BUG
6	ash	FAIL
6	zsh	BUG
6	mksh	pass
6	ksh	pass
6	toysh	pass
6	sush	FAIL
6	brush	pass
6	osh	pass
7	bash	pass
7	dash	pass
7	ash	FAIL
7	zsh	pass
7	mksh	pass
7	ksh	pass
7	toysh	pass
7	sush	FAIL
7	brush	pass
7	osh	pass
