case	shell	result
0	bash	ok
0	dash	ok
0	ash	ok
0	zsh	pass
0	mksh	pass
0	ksh	pass
0	toysh	FAIL
0	sush	FAIL
0	brush	FAIL
0	osh	pass
1	bash	ok
1	dash	ok
1	ash	ok
1	zsh	BUG
1	mksh	pass
1	ksh	pass
1	toysh	FAIL
1	sush	FAIL
1	brush	pass
1	osh	pass
2	bash	ok
2	dash	ok
2	ash	ok
2	zsh	BUG
2	mksh	pass
2	ksh	pass
2	toysh	FAIL
2	sush	FAIL
2	brush	pass
2	osh	pass
3	bash	ok
3	dash	ok
3	ash	FAIL
3	zsh	pass
3	mksh	pass
3	ksh	pass
3	toysh	FAIL
3	sush	FAIL
3	brush	pass
3	osh	pass
4	bash	ok
4	dash	ok
4	ash	FAIL
4	zsh	BUG
4	mksh	pass
4	ksh	pass
4	toysh	FAIL
4	sush	FAIL
4	brush	FAIL
4	osh	pass
