case	shell	result
0	bash	pass
0	dash	FAIL
0	ash	FAIL
0	zsh	FAIL
0	mksh	pass
0	ksh	pass
0	toysh	FAIL
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	dash	FAIL
1	ash	FAIL
1	zsh	FAIL
1	mksh	pass
1	ksh	pass
1	toysh	FAIL
1	sush	pass
1	brush	pass
1	osh	pass
2	bash	pass
2	dash	FAIL
2	ash	FAIL
2	zsh	FAIL
2	mksh	N-I
2	ksh	pass
2	toysh	FAIL
2	sush	pass
2	brush	pass
2	osh	FAIL
3	bash	pass
3	dash	FAIL
3	ash	FAIL
3	zsh	FAIL
3	mksh	pass
3	ksh	pass
3	toysh	FAIL
3	sush	FAIL
3	brush	pass
3	osh	pass
4	bash	pass
4	dash	FAIL
4	ash	FAIL
4	zsh	FAIL
4	mksh	BUG
4	ksh	pass
4	toysh	FAIL
4	sush	pass
4	brush	pass
4	osh	pass
5	bash	pass
5	dash	FAIL
5	ash	FAIL
5	zsh	FAIL
5	mksh	pass
5	ksh	pass
5	toysh	FAIL
5	sush	FAIL
5	brush	pass
5	osh	pass
6	bash	pass
6	dash	FAIL
6	ash	FAIL
6	zsh	FAIL
6	mksh	pass
6	ksh	pass
6	toysh	FAIL
6	sush	pass
6	brush	pass
6	osh	pass
7	bash	pass
7	dash	FAIL
7	ash	FAIL
7	zsh	FAIL
7	mksh	pass
7	ksh	pass
7	toysh	FAIL
7	sush	pass
7	brush	pass
7	osh	pass
8	bash	pass
8	dash	FAIL
8	ash	FAIL
8	zsh	FAIL
8	mksh	pass
8	ksh	pass
8	toysh	FAIL
8	sush	pass
8	brush	pass
8	osh	pass
9	bash	pass
9	dash	FAIL
9	ash	FAIL
9	zsh	FAIL
9	mksh	pass
9	ksh	pass
9	toysh	FAIL
9	sush	pass
9	brush	pass
9	osh	pass
10	bash	pass
10	dash	FAIL
10	ash	FAIL
10	zsh	FAIL
10	mksh	pass
10	ksh	pass
10	toysh	FAIL
10	sush	pass
10	brush	pass
10	osh	pass
11	bash	pass
11	dash	FAIL
11	ash	FAIL
11	zsh	FAIL
11	mksh	pass
11	ksh	pass
11	toysh	FAIL
11	sush	pass
11	brush	pass
11	osh	pass
12	bash	pass
12	dash	FAIL
12	ash	FAIL
12	zsh	FAIL
12	mksh	pass
12	ksh	pass
12	toysh	FAIL
12	sush	pass
12	brush	pass
12	osh	pass
13	bash	pass
13	dash	FAIL
13	ash	FAIL
13	zsh	FAIL
13	mksh	pass
13	ksh	pass
13	toysh	FAIL
13	sush	pass
13	brush	pass
13	osh	pass
14	bash	pass
14	dash	FAIL
14	ash	FAIL
14	zsh	FAIL
14	mksh	pass
14	ksh	pass
14	toysh	FAIL
14	sush	pass
14	brush	pass
14	osh	pass
15	bash	pass
15	dash	FAIL
15	ash	FAIL
15	zsh	FAIL
15	mksh	pass
15	ksh	pass
15	toysh	FAIL
15	sush	pass
15	brush	pass
15	osh	pass
16	bash	pass
16	dash	FAIL
16	ash	FAIL
16	zsh	FAIL
16	mksh	pass
16	ksh	pass
16	toysh	FAIL
16	sush	pass
16	brush	pass
16	osh	pass
17	bash	pass
17	dash	FAIL
17	ash	FAIL
17	zsh	FAIL
17	mksh	pass
17	ksh	pass
17	toysh	FAIL
17	sush	pass
17	brush	pass
17	osh	pass
18	bash	pass
18	dash	FAIL
18	ash	FAIL
18	zsh	FAIL
18	mksh	pass
18	ksh	pass
18	toysh	FAIL
18	sush	pass
18	brush	pass
18	osh	pass
19	bash	pass
19	dash	FAIL
19	ash	FAIL
19	zsh	FAIL
19	mksh	pass
19	ksh	pass
19	toysh	FAIL
19	sush	FAIL
19	brush	pass
19	osh	pass
20	bash	pass
20	dash	FAIL
20	ash	FAIL
20	zsh	FAIL
20	mksh	pass
20	ksh	pass
20	toysh	FAIL
20	sush	FAIL
20	brush	pass
20	osh	pass
21	bash	pass
21	dash	FAIL
21	ash	FAIL
21	zsh	FAIL
21	mksh	N-I
21	ksh	N-I
21	toysh	FAIL
21	sush	FAIL
21	brush	FAIL
21	osh	FAIL
22	bash	pass
22	dash	FAIL
22	ash	FAIL
22	zsh	FAIL
22	mksh	pass
22	ksh	pass
22	toysh	FAIL
22	sush	FAIL
22	brush	pass
22	osh	pass
23	bash	pass
23	dash	FAIL
23	ash	FAIL
23	zsh	FAIL
23	mksh	BUG
23	ksh	BUG
23	toysh	FAIL
23	sush	pass
23	brush	pass
23	osh	FAIL
24	bash	pass
24	dash	FAIL
24	ash	FAIL
24	zsh	pass
24	mksh	N-I
24	ksh	N-I
24	toysh	pass
24	sush	pass
24	brush	pass
24	osh	pass
25	bash	pass
25	dash	FAIL
25	ash	FAIL
25	zsh	pass
25	mksh	BUG
25	ksh	pass
25	toysh	FAIL
25	sush	pass
25	brush	pass
25	osh	pass
26	bash	pass
26	dash	FAIL
26	ash	FAIL
26	zsh	FAIL
26	mksh	BUG
26	ksh	pass
26	toysh	FAIL
26	sush	pass
26	brush	pass
26	osh	pass
27	bash	pass
27	dash	FAIL
27	ash	FAIL
27	zsh	FAIL
27	mksh	pass
27	ksh	pass
27	toysh	FAIL
27	sush	pass
27	brush	pass
27	osh	N-I
28	bash	pass
28	dash	FAIL
28	ash	FAIL
28	zsh	FAIL
28	mksh	pass
28	ksh	pass
28	toysh	FAIL
28	sush	pass
28	brush	pass
28	osh	pass
