case	shell	result
0	bash	pass
0	dash	BUG
0	ash	FAIL
0	zsh	pass
0	mksh	pass
0	ksh	pass
0	toysh	FAIL
0	sush	FAIL
0	brush	pass
0	osh	pass
1	bash	pass
1	dash	pass
1	ash	pass
1	zsh	pass
1	mksh	pass
1	ksh	pass
1	toysh	FAIL
1	sush	pass
1	brush	FAIL
1	osh	pass
2	bash	pass
2	dash	pass
2	ash	pass
2	zsh	pass
2	mksh	pass
2	ksh	pass
2	toysh	FAIL
2	sush	pass
2	brush	FAIL
2	osh	pass
3	bash	pass
3	dash	pass
3	ash	pass
3	zsh	pass
3	mksh	pass
3	ksh	pass
3	toysh	FAIL
3	sush	pass
3	brush	pass
3	osh	pass
4	bash	pass
4	dash	pass
4	ash	pass
4	zsh	pass
4	mksh	pass
4	ksh	pass
4	toysh	FAIL
4	sush	FAIL
4	brush	FAIL
4	osh	pass
5	bash	pass
5	dash	pass
5	ash	pass
5	zsh	pass
5	mksh	ok
5	ksh	FAIL
5	toysh	FAIL
5	sush	FAIL
5	brush	pass
5	osh	pass
6	bash	pass
6	dash	pass
6	ash	pass
6	zsh	pass
6	mksh	pass
6	ksh	pass
6	toysh	FAIL
6	sush	FAIL
6	brush	pass
6	osh	pass
7	bash	pass
7	dash	pass
7	ash	pass
7	zsh	pass
7	mksh	pass
7	ksh	pass
7	toysh	FAIL
7	sush	FAIL
7	brush	pass
7	osh	pass
8	bash	pass
8	dash	ok
8	ash	FAIL
8	zsh	ok
8	mksh	ok
8	ksh	FAIL
8	toysh	FAIL
8	sush	FAIL
8	brush	pass
8	osh	pass
9	bash	pass
9	dash	ok
9	ash	FAIL
9	zsh	ok
9	mksh	ok
9	ksh	FAIL
9	toysh	FAIL
9	sush	FAIL
9	brush	FAIL
9	osh	pass
10	bash	pass
10	dash	BUG
10	ash	FAIL
10	zsh	pass
10	mksh	BUG
10	ksh	FAIL
10	toysh	pass
10	sush	FAIL
10	brush	FAIL
10	osh	pass
11	bash	pass
11	dash	pass
11	ash	pass
11	zsh	pass
11	mksh	pass
11	ksh	pass
11	toysh	FAIL
11	sush	pass
11	brush	FAIL
11	osh	pass
12	bash	pass
12	dash	pass
12	ash	pass
12	zsh	pass
12	mksh	pass
12	ksh	pass
12	toysh	FAIL
12	sush	pass
12	brush	FAIL
12	osh	pass
13	bash	pass
13	dash	pass
13	ash	pass
13	zsh	pass
13	mksh	pass
13	ksh	pass
13	toysh	FAIL
13	sush	pass
13	brush	FAIL
13	osh	pass
14	bash	pass
14	dash	pass
14	ash	pass
14	zsh	pass
14	mksh	pass
14	ksh	pass
14	toysh	FAIL
14	sush	pass
14	brush	FAIL
14	osh	pass
15	bash	pass
15	dash	pass
15	ash	pass
15	zsh	pass
15	mksh	pass
15	ksh	pass
15	toysh	FAIL
15	sush	pass
15	brush	FAIL
15	osh	pass
16	bash	pass
16	dash	pass
16	ash	pass
16	zsh	pass
16	mksh	pass
16	ksh	pass
16	toysh	FAIL
16	sush	pass
16	brush	FAIL
16	osh	pass
17	bash	pass
17	dash	pass
17	ash	pass
17	zsh	pass
17	mksh	pass
17	ksh	pass
17	toysh	FAIL
17	sush	pass
17	brush	FAIL
17	osh	pass
18	bash	pass
18	dash	pass
18	ash	pass
18	zsh	pass
18	mksh	pass
18	ksh	pass
18	toysh	pass
18	sush	pass
18	brush	FAIL
18	osh	pass
19	bash	pass
19	dash	pass
19	ash	pass
19	zsh	pass
19	mksh	pass
19	ksh	pass
19	toysh	FAIL
19	sush	pass
19	brush	pass
19	osh	pass
20	bash	pass
20	dash	pass
20	ash	pass
20	zsh	pass
20	mksh	pass
20	ksh	FAIL
20	toysh	FAIL
20	sush	pass
20	brush	pass
20	osh	pass
21	bash	pass
21	dash	pass
21	ash	pass
21	zsh	ok
21	mksh	ok
21	ksh	FAIL
21	toysh	FAIL
21	sush	FAIL
21	brush	FAIL
21	osh	pass
22	bash	pass
22	dash	pass
22	ash	pass
22	zsh	pass
22	mksh	pass
22	ksh	pass
22	toysh	FAIL
22	sush	FAIL
22	brush	FAIL
22	osh	pass
23	bash	pass
23	dash	pass
23	ash	pass
23	zsh	pass
23	mksh	pass
23	ksh	pass
23	toysh	FAIL
23	sush	FAIL
23	brush	FAIL
23	osh	ok
24	bash	pass
24	dash	pass
24	ash	pass
24	zsh	BUG
24	mksh	pass
24	ksh	pass
24	toysh	FAIL
24	sush	FAIL
24	brush	FAIL
24	osh	ok
25	bash	pass
25	dash	pass
25	ash	pass
25	zsh	ok
25	mksh	ok
25	ksh	FAIL
25	toysh	FAIL
25	sush	FAIL
25	brush	FAIL
25	osh	pass
26	bash	pass
26	dash	pass
26	ash	pass
26	zsh	pass
26	mksh	pass
26	ksh	pass
26	toysh	FAIL
26	sush	pass
26	brush	FAIL
26	osh	pass
27	bash	pass
27	dash	pass
27	ash	pass
27	zsh	ok
27	mksh	pass
27	ksh	pass
27	toysh	FAIL
27	sush	pass
27	brush	FAIL
27	osh	pass
28	bash	pass
28	dash	pass
28	ash	pass
28	zsh	pass
28	mksh	pass
28	ksh	pass
28	toysh	FAIL
28	sush	pass
28	brush	FAIL
28	osh	pass
29	bash	pass
29	dash	pass
29	ash	pass
29	zsh	pass
29	mksh	pass
29	ksh	pass
29	toysh	pass
29	sush	pass
29	brush	pass
29	osh	pass
30	bash	pass
30	dash	pass
30	ash	pass
30	zsh	pass
30	mksh	pass
30	ksh	pass
30	toysh	FAIL
30	sush	pass
30	brush	FAIL
30	osh	pass
31	bash	pass
31	dash	pass
31	ash	pass
31	zsh	BUG
31	mksh	pass
31	ksh	pass
31	toysh	FAIL
31	sush	FAIL
31	brush	pass
31	osh	pass
32	bash	pass
32	dash	pass
32	ash	pass
32	zsh	pass
32	mksh	pass
32	ksh	pass
32	toysh	FAIL
32	sush	pass
32	brush	pass
32	osh	pass
33	bash	pass
33	dash	pass
33	ash	pass
33	zsh	pass
33	mksh	pass
33	ksh	pass
33	toysh	FAIL
33	sush	pass
33	brush	pass
33	osh	pass
34	bash	pass
34	dash	pass
34	ash	pass
34	zsh	pass
34	mksh	pass
34	ksh	pass
34	toysh	FAIL
34	sush	pass
34	brush	FAIL
34	osh	pass
35	bash	pass
35	dash	pass
35	ash	pass
35	zsh	pass
35	mksh	pass
35	ksh	pass
