case	shell	result
0	bash	pass
0	dash	pass
0	ash	pass
0	zsh	pass
0	mksh	pass
0	ksh	pass
0	toysh	pass
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	dash	N-I
1	ash	FAIL
1	zsh	FAIL
1	mksh	N-I
1	ksh	FAIL
1	toysh	FAIL
1	sush	FAIL
1	brush	FAIL
1	osh	pass
2	bash	pass
2	dash	N-I
2	ash	pass
2	zsh	FAIL
2	mksh	N-I
2	ksh	FAIL
2	toysh	pass
2	sush	pass
2	brush	FAIL
2	osh	pass
3	bash	pass
3	dash	ok
3	ash	FAIL
3	zsh	FAIL
3	mksh	pass
3	ksh	pass
3	toysh	FAIL
3	sush	pass
3	brush	FAIL
3	osh	FAIL
4	bash	pass
4	dash	pass
4	ash	pass
4	zsh	FAIL
4	mksh	pass
4	ksh	pass
4	toysh	FAIL
4	sush	pass
4	brush	FAIL
4	osh	pass
5	bash	ok
5	dash	pass
5	ash	pass
5	zsh	FAIL
5	mksh	BUG
5	ksh	FAIL
5	toysh	FAIL
5	sush	FAIL
5	brush	FAIL
5	osh	pass
6	bash	pass
6	dash	pass
6	ash	pass
6	zsh	pass
6	mksh	pass
6	ksh	pass
6	toysh	pass
6	sush	FAIL
6	brush	pass
6	osh	pass
7	bash	pass
7	dash	pass
7	ash	pass
7	zsh	FAIL
7	mksh	pass
7	ksh	pass
7	toysh	FAIL
7	sush	FAIL
7	brush	FAIL
7	osh	pass
8	bash	pass
8	dash	pass
8	ash	pass
8	zsh	pass
8	mksh	pass
8	ksh	pass
8	toysh	pass
8	sush	pass
8	brush	pass
8	osh	pass
9	bash	pass
9	dash	pass
9	ash	pass
9	zsh	pass
9	mksh	pass
9	ksh	pass
9	toysh	pass
9	sush	pass
9	brush	pass
9	osh	pass
10	bash	pass
10	dash	pass
10	ash	pass
10	zsh	FAIL
10	mksh	pass
10	ksh	pass
10	toysh	FAIL
10	sush	FAIL
10	brush	FAIL
10	osh	pass
11	bash	pass
11	dash	pass
11	ash	pass
11	zsh	pass
11	mksh	pass
11	ksh	pass
11	toysh	FAIL
11	sush	pass
11	brush	pass
11	osh	pass
12	bash	FAIL
12	dash	N-I
12	ash	FAIL
12	zsh	FAIL
12	mksh	pass
12	ksh	pass
12	toysh	FAIL
12	sush	FAIL
12	brush	FAIL
12	osh	FAIL
13	bash	pass
13	dash	N-I
13	ash	FAIL
13	zsh	FAIL
13	mksh	pass
13	ksh	pass
13	toysh	FAIL
13	sush	FAIL
13	brush	FAIL
13	osh	FAIL
14	bash	pass
14	dash	pass
14	ash	pass
14	zsh	pass
14	mksh	pass
14	ksh	pass
14	toysh	pass
14	sush	FAIL
14	brush	pass
14	osh	pass
15	bash	pass
15	dash	pass
15	ash	pass
15	zsh	pass
15	mksh	pass
15	ksh	pass
15	toysh	FAIL
15	sush	pass
15	brush	FAIL
15	osh	pass
16	bash	pass
16	dash	pass
16	ash	pass
16	zsh	pass
16	mksh	pass
16	ksh	pass
16	toysh	FAIL
16	sush	FAIL
16	brush	FAIL
16	osh	pass
17	bash	pass
17	dash	N-I
17	ash	FAIL
17	zsh	FAIL
17	mksh	N-I
17	ksh	FAIL
17	toysh	FAIL
17	sush	pass
17	brush	FAIL
17	osh	pass
18	bash	pass
18	dash	pass
18	ash	pass
18	zsh	pass
18	mksh	pass
18	ksh	pass
18	toysh	FAIL
18	sush	pass
18	brush	pass
18	osh	pass
19	bash	pass
19	dash	pass
19	ash	pass
19	zsh	FAIL
19	mksh	pass
19	ksh	pass
19	toysh	FAIL
19	sush	FAIL
19	brush	pass
19	osh	pass
20	bash	pass
20	dash	pass
20	ash	pass
20	zsh	pass
20	mksh	pass
20	ksh	pass
20	toysh	FAIL
20	sush	pass
20	brush	FAIL
20	osh	pass
21	bash	pass
21	dash	BUG
21	ash	pass
21	zsh	FAIL
21	mksh	pass
21	ksh	pass
21	toysh	pass
21	sush	pass
21	brush	FAIL
21	osh	pass
22	bash	pass
22	dash	pass
22	ash	pass
22	zsh	FAIL
22	mksh	pass
22	ksh	pass
22	toysh	pass
22	sush	pass
22	brush	FAIL
22	osh	pass
23	bash	pass
23	dash	pass
23	ash	pass
23	zsh	pass
23	mksh	pass
23	ksh	pass
23	toysh	pass
23	sush	FAIL
23	brush	pass
23	osh	pass
24	bash	N-I
24	dash	N-I
24	ash	FAIL
24	zsh	pass
24	mksh	N-I
24	ksh	pass
24	toysh	FAIL
24	sush	FAIL
24	brush	FAIL
24	osh	pass
25	bash	N-I
25	dash	N-I
25	ash	FAIL
25	zsh	FAIL
25	mksh	N-I
25	ksh	FAIL
25	toysh	FAIL
25	sush	FAIL
25	brush	FAIL
25	osh	pass
