case	shell	result
0	bash	pass
0	dash	BUG
0	ash	pass
0	zsh	BUG
0	mksh	BUG
0	ksh	FAIL
0	toysh	pass
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	dash	pass
1	ash	pass
1	zsh	pass
1	mksh	pass
1	ksh	pass
1	toysh	FAIL
1	sush	FAIL
1	brush	FAIL
1	osh	pass
2	bash	pass
2	dash	pass
2	ash	pass
2	zsh	pass
2	mksh	pass
2	ksh	pass
2	toysh	pass
2	sush	pass
2	brush	pass
2	osh	pass
3	bash	pass
3	dash	pass
3	ash	pass
3	zsh	pass
3	mksh	pass
3	ksh	pass
3	toysh	FAIL
3	sush	pass
3	brush	pass
3	osh	pass
4	bash	pass
4	dash	pass
4	ash	pass
4	zsh	pass
4	mksh	pass
4	ksh	pass
4	toysh	FAIL
4	sush	pass
4	brush	pass
4	osh	pass
5	bash	pass
5	dash	pass
5	ash	pass
5	zsh	pass
5	mksh	pass
5	ksh	pass
5	toysh	pass
5	sush	pass
5	brush	pass
5	osh	pass
6	bash	pass
6	dash	pass
6	ash	pass
6	zsh	pass
6	mksh	pass
6	ksh	pass
6	toysh	pass
6	sush	pass
6	brush	pass
6	osh	pass
7	bash	pass
7	dash	ok
7	ash	FAIL
7	zsh	pass
7	mksh	pass
7	ksh	pass
7	toysh	FAIL
7	sush	pass
7	brush	FAIL
7	osh	pass
8	bash	pass
8	dash	pass
8	ash	pass
8	zsh	pass
8	mksh	pass
8	ksh	pass
8	toysh	FAIL
8	sush	FAIL
8	brush	pass
8	osh	pass
9	bash	pass
9	dash	pass
9	ash	FAIL
9	zsh	BUG
9	mksh	pass
9	ksh	pass
9	toysh	FAIL
9	sush	FAIL
9	brush	pass
9	osh	pass
10	bash	pass
10	dash	pass
10	ash	pass
10	zsh	BUG
10	mksh	pass
10	ksh	pass
10	toysh	FAIL
10	sush	FAIL
10	brush	pass
10	osh	pass
11	bash	pass
11	dash	pass
11	ash	pass
11	zsh	BUG
11	mksh	pass
11	ksh	pass
11	toysh	FAIL
11	sush	FAIL
11	brush	FAIL
11	osh	pass
12	bash	pass
12	dash	pass
12	ash	pass
12	zsh	N-I
12	mksh	pass
12	ksh	pass
12	toysh	FAIL
12	sush	FAIL
12	brush	FAIL
12	osh	pass
13	bash	pass
13	dash	pass
13	ash	pass
13	zsh	N-I
13	mksh	BUG
13	ksh	FAIL
13	toysh	FAIL
13	sush	FAIL
13	brush	FAIL
13	osh	pass
14	bash	pass
14	dash	pass
14	ash	pass
14	zsh	ok
14	mksh	BUG
14	ksh	FAIL
14	toysh	FAIL
14	sush	FAIL
14	brush	pass
14	osh	ok
15	bash	pass
15	dash	pass
15	ash	pass
15	zsh	pass
15	mksh	pass
15	ksh	pass
15	toysh	FAIL
15	sush	pass
15	brush	pass
15	osh	pass
16	bash	pass
16	dash	pass
16	ash	pass
16	zsh	pass
16	mksh	pass
16	ksh	pass
16	toysh	FAIL
16	sush	pass
16	brush	pass
16	osh	pass
17	bash	pass
17	dash	pass
17	ash	pass
17	zsh	pass
17	mksh	pass
17	ksh	pass
17	toysh	FAIL
17	sush	FAIL
17	brush	pass
17	osh	pass
18	bash	pass
18	dash	pass
18	ash	pass
18	zsh	pass
18	mksh	pass
18	ksh	pass
18	toysh	FAIL
18	sush	pass
18	brush	pass
18	osh	pass
19	bash	pass
19	dash	pass
19	ash	pass
19	zsh	pass
19	mksh	BUG
19	ksh	FAIL
19	toysh	FAIL
19	sush	pass
19	brush	pass
19	osh	pass
20	bash	pass
20	dash	N-I
20	ash	FAIL
20	zsh	pass
20	mksh	N-I
20	ksh	FAIL
20	toysh	FAIL
20	sush	pass
20	brush	pass
20	osh	pass
