case	shell	result
0	bash	BUG
0	dash	pass
0	ash	BUG-2
0	zsh	FAIL
0	mksh	pass
0	ksh	pass
0	toysh	FAIL
0	sush	FAIL
0	brush	FAIL
0	osh	pass
1	bash	pass
1	dash	pass
1	ash	pass
1	zsh	pass
1	mksh	pass
1	ksh	pass
1	toysh	FAIL
1	sush	FAIL
1	brush	FAIL
1	osh	pass
2	bash	pass
2	dash	pass
2	ash	pass
2	zsh	pass
2	mksh	pass
2	ksh	pass
2	toysh	pass
2	sush	pass
2	brush	pass
2	osh	pass
3	bash	pass
3	dash	pass
3	ash	pass
3	zsh	FAIL
3	mksh	BUG
3	ksh	FAIL
3	toysh	pass
3	sush	pass
3	brush	pass
3	osh	pass
4	bash	pass
4	dash	N-I
4	ash	pass
4	zsh	FAIL
4	mksh	pass
4	ksh	pass
4	toysh	FAIL
4	sush	pass
4	brush	pass
4	osh	pass
5	bash	pass
5	dash	pass
5	ash	pass
5	zsh	pass
5	mksh	pass
5	ksh	pass
5	toysh	FAIL
5	sush	pass
5	brush	FAIL
5	osh	pass
6	bash	pass
6	dash	ok
6	ash	ok
6	zsh	FAIL
6	mksh	ok
6	ksh	FAIL
6	toysh	FAIL
6	sush	pass
6	brush	pass
6	osh	FAIL
7	bash	pass
7	dash	N-I
7	ash	N-I
7	zsh	FAIL
7	mksh	N-I
7	ksh	FAIL
7	toysh	FAIL
7	sush	FAIL
7	brush	FAIL
7	osh	pass
8	bash	pass
8	dash	ok
8	ash	ok
8	zsh	FAIL
8	mksh	ok
8	ksh	FAIL
8	toysh	FAIL
8	sush	FAIL
8	brush	FAIL
8	osh	pass
9	bash	pass
9	dash	pass
9	ash	pass
9	zsh	FAIL
9	mksh	pass
9	ksh	pass
9	toysh	pass
9	sush	FAIL
9	brush	FAIL
9	osh	pass
10	bash	pass
10	dash	ok
10	ash	ok
10	zsh	FAIL
10	mksh	BUG
10	ksh	FAIL
10	toysh	FAIL
10	sush	FAIL
10	brush	pass
10	osh	pass
11	bash	pass
11	dash	ok
11	ash	ok
11	zsh	FAIL
11	mksh	ok
11	ksh	FAIL
11	toysh	FAIL
11	sush	FAIL
11	brush	FAIL
11	osh	pass
12	bash	pass
12	dash	N-I
12	ash	pass
12	zsh	FAIL
12	mksh	pass
12	ksh	pass
12	toysh	FAIL
12	sush	pass
12	brush	pass
12	osh	pass
13	bash	pass
13	dash	pass
13	ash	pass
13	zsh	pass
13	mksh	pass
13	ksh	pass
13	toysh	FAIL
13	sush	FAIL
13	brush	FAIL
13	osh	pass
14	bash	pass
14	dash	pass
14	ash	pass
14	zsh	FAIL
14	mksh	BUG
14	ksh	pass
14	toysh	FAIL
14	sush	FAIL
14	brush	pass
14	osh	FAIL
15	bash	pass
15	dash	pass
15	ash	pass
15	zsh	FAIL
15	mksh	pass
15	ksh	pass
15	toysh	FAIL
15	sush	FAIL
15	brush	pass
15	osh	ok
16	bash	BUG
16	dash	BUG
16	ash	BUG
16	zsh	pass
16	mksh	BUG
16	ksh	FAIL
16	toysh	FAIL
16	sush	FAIL
16	brush	FAIL
16	osh	pass
17	bash	pass
17	dash	pass
17	ash	pass
17	zsh	FAIL
17	mksh	pass
17	ksh	pass
17	toysh	FAIL
17	sush	pass
17	brush	FAIL
17	osh	pass
18	bash	pass
18	dash	pass
18	ash	pass
18	zsh	pass
18	mksh	pass
18	ksh	pass
18	toysh	FAIL
18	sush	FAIL
18	brush	FAIL
18	osh	pass
19	bash	pass
19	dash	pass
19	ash	pass
19	zsh	FAIL
19	mksh	ok
19	ksh	FAIL
19	toysh	FAIL
19	sush	FAIL
19	brush	FAIL
19	osh	pass
20	bash	pass
20	dash	pass
20	ash	pass
20	zsh	FAIL
20	mksh	pass
20	ksh	pass
20	toysh	FAIL
20	sush	pass
20	brush	FAIL
20	osh	pass
21	bash	pass
21	dash	pass
21	ash	pass
21	zsh	pass
21	mksh	pass
21	ksh	pass
21	toysh	FAIL
21	sush	FAIL
21	brush	FAIL
21	osh	pass
22	bash	pass
22	dash	pass
22	ash	pass
22	zsh	pass
22	mksh	pass
22	ksh	pass
22	toysh	FAIL
22	sush	pass
22	brush	FAIL
22	osh	pass
23	bash	pass
23	dash	pass
23	ash	pass
23	zsh	pass
23	mksh	pass
23	ksh	pass
23	toysh	FAIL
23	sush	pass
23	brush	FAIL
23	osh	pass
24	bash	pass
24	dash	pass
24	ash	pass
24	zsh	pass
24	mksh	pass
24	ksh	pass
24	toysh	FAIL
24	sush	FAIL
24	brush	FAIL
24	osh	pass
25	bash	pass
25	dash	pass
25	ash	pass
25	zsh	pass
25	mksh	pass
25	ksh	pass
25	toysh	FAIL
25	sush	FAIL
25	brush	FAIL
25	osh	pass
26	bash	pass
26	dash	pass
26	ash	pass
26	zsh	pass
26	mksh	pass
26	ksh	pass
26	toysh	FAIL
26	sush	pass
26	brush	FAIL
26	osh	pass
27	bash	pass
27	dash	pass
27	ash	pass
27	zsh	pass
27	mksh	ok
27	ksh	pass
27	toysh	FAIL
27	sush	pass
27	brush	pass
27	osh	ok
28	bash	pass
28	dash	pass
28	ash	pass
28	zsh	pass
28	mksh	pass
28	ksh	pass
28	toysh	FAIL
28	sush	pass
28	brush	FAIL
28	osh	pass
29	bash	pass
29	dash	pass
29	ash	pass
29	zsh	FAIL
29	mksh	pass
29	ksh	pass
29	toysh	FAIL
29	sush	FAIL
29	brush	FAIL
29	osh	pass
