case	shell	result
0	bash	pass
0	dash	pass
0	ash	pass
0	zsh	pass
0	mksh	pass
0	ksh	pass
0	toysh	pass
0	sush	pass
0	brush	pass
0	osh	pass
1	bash	pass
1	dash	N-I
1	ash	pass
1	zsh	N-I
1	mksh	N-I
1	ksh	FAIL
1	toysh	FAIL
1	sush	FAIL
1	brush	pass
1	osh	pass
2	bash	pass
2	dash	N-I
2	ash	pass
2	zsh	N-I
2	mksh	N-I
2	ksh	FAIL
2	toysh	pass
2	sush	pass
2	brush	pass
2	osh	pass
3	bash	ok
3	dash	N-I
3	ash	FAIL
3	zsh	N-I
3	mksh	N-I
3	ksh	FAIL
3	toysh	FAIL
3	sush	FAIL
3	brush	FAIL
3	osh	pass
4	bash	pass
4	dash	pass
4	ash	pass
4	zsh	pass
4	mksh	pass
4	ksh	pass
4	toysh	pass
4	sush	pass
4	brush	pass
4	osh	pass
5	bash	pass
5	dash	pass
5	ash	pass
5	zsh	pass
5	mksh	pass
5	ksh	pass
5	toysh	pass
5	sush	pass
5	brush	pass
5	osh	pass
6	bash	pass
6	dash	pass
6	ash	pass
6	zsh	pass
6	mksh	pass
6	ksh	pass
6	toysh	pass
6	sush	FAIL
6	brush	pass
6	osh	pass
7	bash	pass
7	dash	pass
7	ash	pass
7	zsh	pass
7	mksh	pass
7	ksh	pass
7	toysh	pass
7	sush	FAIL
7	brush	pass
7	osh	pass
8	bash	pass
8	dash	pass
8	ash	pass
8	zsh	pass
8	mksh	pass
8	ksh	pass
8	toysh	pass
8	sush	pass
8	brush	FAIL
8	osh	pass
9	bash	pass
9	dash	pass
9	ash	pass
9	zsh	pass
9	mksh	pass
9	ksh	pass
9	toysh	pass
9	sush	pass
9	brush	FAIL
9	osh	pass
10	bash	pass
10	dash	pass
10	ash	pass
10	zsh	pass
10	mksh	pass
10	ksh	pass
10	toysh	pass
10	sush	pass
10	brush	pass
10	osh	pass
11	bash	pass
11	dash	pass
11	ash	pass
11	zsh	pass
11	mksh	pass
11	ksh	pass
11	toysh	pass
11	sush	FAIL
11	brush	pass
11	osh	pass
12	bash	pass
12	dash	pass
12	ash	pass
12	zsh	pass
12	mksh	pass
12	ksh	pass
12	toysh	pass
12	sush	pass
12	brush	pass
12	osh	pass
13	bash	pass
13	dash	N-I
13	ash	FAIL
13	zsh	pass
13	mksh	BUG
13	ksh	FAIL
13	toysh	FAIL
13	sush	FAIL
13	brush	FAIL
13	osh	ok
14	bash	pass
14	dash	pass
14	ash	pass
14	zsh	pass
14	mksh	N-I
14	ksh	FAIL
14	toysh	pass
14	sush	FAIL
14	brush	FAIL
14	osh	ok
15	bash	BUG
15	dash	ok
15	ash	FAIL
15	zsh	pass
15	mksh	ok
15	ksh	FAIL
15	toysh	FAIL
15	sush	FAIL
15	brush	FAIL
15	osh	pass
16	bash	pass
16	dash	ok
16	ash	FAIL
16	zsh	pass
16	mksh	ok
16	ksh	FAIL
16	toysh	FAIL
16	sush	pass
16	brush	pass
16	osh	pass
17	bash	pass
17	dash	ok
17	ash	FAIL
17	zsh	pass
17	mksh	ok
17	ksh	FAIL
17	toysh	FAIL
17	sush	FAIL
17	brush	FAIL
17	osh	pass
18	bash	pass
18	dash	pass
18	ash	pass
18	zsh	pass
18	mksh	pass
18	ksh	pass
18	toysh	pass
18	sush	pass
18	brush	pass
18	osh	pass
19	bash	pass
19	dash	pass
19	ash	pass
19	zsh	pass
19	mksh	pass
19	ksh	pass
19	toysh	pass
19	sush	pass
19	brush	pass
19	osh	pass
20	bash	pass
20	dash	pass
20	ash	pass
20	zsh	pass
20	mksh	pass
20	ksh	pass
20	toysh	pass
20	sush	pass
20	brush	pass
20	osh	pass
21	bash	pass
21	dash	ok
21	ash	FAIL
21	zsh	ok
21	mksh	pass
21	ksh	pass
21	toysh	FAIL
21	sush	FAIL
21	brush	pass
21	osh	pass
22	bash	pass
22	dash	N-I
22	ash	FAIL
22	zsh	N-I
22	mksh	N-I
22	ksh	FAIL
22	toysh	FAIL
22	sush	pass
22	brush	pass
22	osh	pass
23	bash	pass
23	dash	pass
